"inegi","afro","indigena","resto"
"15034",0.62,0.49,98.88
"15035",2.25,4.18,93.57
"15036",1.3,1.28,97.42
"15037",2.22,4,93.78
"15038",3.21,3.55,93.24
"15039",3.46,6.52,90.02
"15040",0.58,0.68,98.74
"15041",0.26,8.33,91.41
"15042",0.42,37.13,62.45
"15043",2.23,3.27,94.5
"15044",3.09,2.09,94.82
"15045",0.86,1.13,98.01
"15046",0.48,3,96.52
"15047",1.27,21.92,76.8
"15048",6.3,9.95,83.76
"15049",2.1,1.9,95.99
"15050",13.14,0.66,86.2
"15051",1.77,6.7,91.54
"15052",0.75,0.55,98.7
"15053",0.97,5.02,94.01
"15054",1.28,1.62,97.1
"15055",1.23,1.56,97.22
"15056",8.28,37.31,54.41
"15057",2.37,6.61,91.02
"15058",1.92,3.43,94.64
"15059",1.78,4.27,93.95
"15060",2.93,6.11,90.95
"15061",1.34,0.96,97.7
"15062",0.47,5.94,93.59
"15063",1.87,9.37,88.75
"15064",0.37,30.69,68.94
"15065",4.89,0.91,94.2
"15066",0.31,0.29,99.4
"15067",1.29,22.96,75.75
"15068",0.42,0.79,98.78
"15069",1.83,0.39,97.79
"15070",2.21,12.2,85.59
"15071",0.86,0.92,98.23
"15072",0.97,0.4,98.63
"15073",5.09,0.79,94.12
"15074",0.29,58.99,40.72
"15075",1.48,2.07,96.45
"15076",2.26,0.69,97.05
"15077",1.38,0.22,98.4
"15078",0.76,0.44,98.8
"15079",1.49,0.66,97.85
"15080",0.48,3.41,96.1
"15081",1.79,3.05,95.16
"15082",0.45,0.3,99.26
"15083",6.42,6.04,87.54
"15084",6.63,2.58,90.79
"15085",0.59,34.3,65.11
"15086",0.14,13.97,85.89
"15087",2.17,54.07,43.75
"15088",0.55,0.45,99
"15089",4.18,1.92,93.9
"15090",2.9,1.52,95.58
"15091",4.11,1.05,94.84
"15092",2.77,3.67,93.56
"15093",1.99,1.75,96.26
"15094",1.47,1.86,96.66
"15095",8.3,1.7,90.01
"15096",0.66,1.27,98.07
"15097",0.7,0.17,99.13
"15098",1.87,3.08,95.05
"15099",2.09,5,92.9
"15100",2.23,5.56,92.21
"15101",0.78,2.87,96.35
"15102",1.14,13.08,85.79
"15103",1.92,1.07,97.01
"15104",2.69,3.61,93.7
"15105",0.66,0.38,98.96
"15106",1.46,8.07,90.47
"15107",1.79,0.67,97.54
"15108",4.14,3.94,91.92
"15109",3.38,2.98,93.64
"15110",1.12,1.97,96.9
"15111",0.6,18.87,80.53
"15112",1.72,4.16,94.13
"15113",0.55,0.39,99.06
"15114",0.6,13.29,86.11
"15115",1.08,6.77,92.15
"15116",13.96,0.12,85.92
"15117",0.22,0.1,99.68
"15118",3.18,1.95,94.87
"15119",0.42,0.44,99.14
"15120",1,1.67,97.32
"15121",3.29,2.13,94.58
"15122",4.29,7.7,88.01
"15123",0.56,0.1,99.33
"15124",0.62,33.53,65.84
"15125",2.97,4.99,92.04
"16001",0.19,0.44,99.37
"16002",0.39,1.06,98.56
"16003",0.6,0.23,99.17
"16004",0.26,0.21,99.53
"16005",0.13,0.29,99.58
"16006",0.58,1.13,98.29
"16007",1.7,0.2,98.1
"16008",5.52,41.8,52.68
"16009",0.44,0.21,99.35
"16010",0.24,0.36,99.41
"16011",0.12,0.03,99.85
"16012",1.25,2.67,96.09
"16013",2.98,0.02,97
"16014",2.13,2.22,95.64
"16015",0.25,1.16,98.59
"16016",0.19,22.95,76.87
"16017",0.1,0.48,99.42
"16018",0.11,0.08,99.81
"16019",0.65,0.43,98.92
"16020",0.32,0.28,99.39
"16021",0.81,60.4,38.79
"16022",0.24,0.54,99.22
"16023",0.6,1.05,98.35
"16024",0.23,48.11,51.66
"16025",0.03,62.71,37.26
"16026",0.26,4.79,94.95
"16027",0.29,0.22,99.49
"16028",0.16,0.35,99.49
"16029",0.26,0.11,99.63
"16030",0.02,0.25,99.73
"16031",1.21,0.67,98.13
"16032",0.12,41.75,58.13
"16033",0.17,0.34,99.49
"16034",0.9,0.18,98.92
"16035",0.82,0.26,98.91
"16036",0.17,0.22,99.61
"16037",0.09,0.12,99.79
"16038",0.79,0.27,98.94
"16039",0.13,0.25,99.62
"16040",0.13,0.2,99.67
"16041",1.69,0.38,97.93
"16042",0.14,0.08,99.78
"16043",0.25,2.53,97.22
"16044",0.2,0.19,99.61
"16045",1.47,0.71,97.82
"16046",0.09,0.4,99.51
"16047",0.47,0.41,99.12
"16048",0.09,0.18,99.73
"16049",0.18,0.52,99.29
"16050",0.57,0.52,98.91
"16051",0.82,0.64,98.55
"16052",0.78,1.9,97.32
"16053",0.37,1.93,97.7
"16054",0.23,0.13,99.63
"16055",0.44,0.74,98.81
"16056",0.13,47.54,52.33
"16057",3.71,0.41,95.88
"16058",0.29,7.04,92.67
"16059",1.36,0.53,98.11
"16060",0.06,0.35,99.59
"16061",0.11,0.68,99.21
"16062",0.58,0.55,98.87
"16063",0.74,0.5,98.76
"16064",0.17,1,98.83
"16065",0.32,48.02,51.66
"16066",0.46,10.26,89.28
"16067",0.53,0.38,99.08
"16068",1.32,0.76,97.92
"16069",0.62,0.63,98.75
"16070",0.06,0.93,99.01
"16071",0.35,0.74,98.9
"16072",0.11,0.38,99.51
"16073",0.58,33.48,65.94
"16074",0.75,0.45,98.8
"16075",0.26,18.99,80.75
